"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Video Processing Using Deep Learning Techniques: A Systematic Literature Review","V. Sharma; M. Gupta; A. Kumar; D. Mishra","Centre for Development of Advanced Computing (C-DAC), Pune, India; Department of Computer Science, DST-Center for Interdisciplinary Mathematical Sciences, Institute of Science, Banaras Hindu University, Varanasi, India; Centre for Development of Advanced Computing (C-DAC), Pune, India; Department of Computer Science (IDI), Norwegian University of Science and Technology (NTNU), Gjøvik, Norway","IEEE Access","19 Oct 2021","2021","9","","139489","139507","Studies show lots of advanced research on various data types such as image, speech, and text using deep learning techniques, but nowadays, research on video processing is also an emerging field of computer vision. Several surveys are present on video processing using computer vision deep learning techniques, targeting specific functionality such as anomaly detection, crowd analysis, activity monitoring, etc. However, a combined study is still unexplored. This paper aims to present a Systematic Literature Review (SLR) on video processing using deep learning to investigate the applications, functionalities, techniques, datasets, issues, and challenges by formulating the relevant research questions (RQs). This systematic mapping includes 93 research articles from reputed databases published between 2011 and 2020. We categorize the deep learning technique for video processing as CNN, DNN, and RNN based. We observe significant advancements in video processing between 2017 and 2020, primarily due to the advent of AlexNet, ResNet, and LSTM based deep learning techniques. The prominent fields of video processing research are observed as human action recognition, crowd anomaly detection, and behavior analysis. This SLR is a helpful guide for the researchers to explore the recent literature, available datasets, and existing deep learning techniques for video processing.","2169-3536","","10.1109/ACCESS.2021.3118541","Norwegian University of Science and Technology, Gjøvik, Norway; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9563948","Video processing;computer vision;artificial intelligence;deep learning;human action recognition;systematic literature review","Deep learning;Systematics;Bibliographies;Face recognition;Convolutional neural networks;Computer vision;Anomaly detection","","34","","134","CCBY","7 Oct 2021","","","IEEE","IEEE Journals"
"Population Density Estimation using Single Shot Detection Algorithm","G. L. Miraclin; K. Raimond; I. K. Beulah","Dept. of Computer Science and Engineering (Bachelor’s of Technology), Karunya Institute of Technology and Sciences (Deemed to be University), Coimbatore, India; Dept. of Computer Science and Engineering (Bachelor’s of Technology), Karunya Institute of Technology and Sciences (Deemed to be University), Coimbatore, India; Dept. of Computer Science and Engineering (Bachelor’s of Technology), Karunya Institute of Technology and Sciences (Deemed to be University), Coimbatore, India","2023 International Conference on Sustainable Computing and Smart Systems (ICSCSS)","7 Jul 2023","2023","","","695","699","The proposed system consists of an Artificial Intelligent software that is capable of counting the number of people from the user inputs such as images and video frames more accurately. The system uses the advanced MobileNet Single Shot Detection algorithm to detect the human class in the given frame at the given moment. The count of individuals in the frame is dependent on the threshold set by the end-user. The primary goal of the application is to provide an easy-to-use and efficient tool for analyzing images and videos. The model used for object detection is trained on the mall dataset from Kaggle website and is capable of accurately detecting people in real-time, making it suitable for a wide range of applications. The people in the frame are tracked using centroid tracker algorithm, and the tracked classes are counted. The detection algorithm is built using the popular library keras for its versatile usage. This system uses Keras, a high-level deep learning library, and OpenCV, a computer vision library, to perform real-time people counting. The system utilizes object detection algorithms to detect and track individuals, and then increments a count each time a person crosses a designated line. The system is capable of handling multiple people simultaneously and accurately counting them in real-time.","","979-8-3503-3360-2","10.1109/ICSCSS57650.2023.10169157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10169157","Crowd Counting;Open CV;Deep Learning","Training;Sociology;Object detection;Streaming media;Feature extraction;Real-time systems;Libraries","","","","27","IEEE","7 Jul 2023","","","IEEE","IEEE Conferences"
"AerialMPTNet: Multi-Pedestrian Tracking in Aerial Imagery Using Temporal and Graphical Features","M. Kraus; S. M. Azimi; E. Ercelik; R. Bahmanyar; P. Reinartz; A. Knoll","Department of Informatics, Technical University of Munich, Munich, Germany; Department of Aerospace, Aeronautics and Geodesy, Technical University of Munich, Munich, Germany; Department of Informatics, Technical University of Munich, Munich, Germany; Remote Sensing Technology Institute, German Aerospace Center (DLR), Wessling, Germany; Remote Sensing Technology Institute, German Aerospace Center (DLR), Wessling, Germany; Department of Informatics, Technical University of Munich, Munich, Germany","2020 25th International Conference on Pattern Recognition (ICPR)","5 May 2021","2021","","","2454","2461","Multi-pedestrian tracking in aerial imagery has several applications such as large-scale event monitoring, disaster management, search-and-rescue missions, and as input into predictive crowd dynamic models. Due to the challenges such as the large number and the tiny size of the pedestrians (e.g., 4 × 4 pixels) with their similar appearances as well as different scales and atmospheric conditions of the images with their extremely low frame rates (e.g., 2 fps), current state-of-the-art algorithms including the deep learning-based ones are unable to perform well. In this paper, we propose AerialMPTNet, a novel approach for multi-pedestrian tracking in geo-referenced aerial imagery by fusing appearance features from a Siamese Neural Network, movement predictions from a Long Short-Term Memory, and pedestrian interconnections from a GraphCNN. In addition, to address the lack of diverse aerial pedestrian tracking datasets, we introduce the Aerial Multi-Pedestrian Tracking (AerialMPT) dataset consisting of 307 frames and 44,740 pedestrians annotated. We believe that AerialMPT is the largest and most diverse dataset to this date and will be released publicly. We evaluate AerialMPTNet on AerialMPT and KIT AIS, and benchmark with several state-of-the-art tracking methods. Results indicate that AerialMPTNet significantly outperforms other methods on accuracy and time-efficiency.","1051-4651","978-1-7281-8808-9","10.1109/ICPR48806.2021.9413031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9413031","","Image quality;Tracking;Atmospheric modeling;Neural networks;Predictive models;Prediction algorithms;Trajectory","","2","","32","IEEE","5 May 2021","","","IEEE","IEEE Conferences"
"Video Surveillance System in Bank for Analysis of Sentiment, Objects and Crowd Detection using Deep Learning","K. S. Wagh; C. Agarwal; R. Pathan; S. Pathare; M. Sayed","Department of Computer Science, AISSMS IOIT, Aft. by NAAC, Pune, India; Department of Computer Science, AISSMS IOIT, Aft. by NAAC, Pune, India; Department of Computer Science, AISSMS IOIT, Aft. by NAAC, Pune, India; Department of Computer Science, AISSMS IOIT, Aft. by NAAC, Pune, India; Department of Computer Science, AISSMS IOIT, Aft. by NAAC, Pune, India","2023 2nd International Conference on Applied Artificial Intelligence and Computing (ICAAIC)","8 Jun 2023","2023","","","911","919","Bank is using video cameras for the purpose of surveillance at many branches, ATM's and digital lobbies. Getting video analytics of different parameters from the video recording will help the bank to resolve many operational issues at the branches. The bank desires to explore video analytics for understand the customer sentiments, recognize the patterns /behaviors/movements in sure branches for proactive surveillance and provide better offerings to customers. The system can be utilized by banks, department shops, restaurants, schools, etc. The web based gadget takes video enter at a sure frequency and analyzes primarily based upon deep mastering algorithms and is expected to enhance the specificity and efficiency of information furnished at the portal. The average accuracy of the whole system is about 60–70 percentage including individual working and result of all algorithms.","","978-1-6654-5630-2","10.1109/ICAAIC56838.2023.10140538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10140538","Video analytics;classification;prediction;training;K-nearest neighbor;Convolutional neural network;VADER Algorithm;Random Forest Algorithm","Support vector machines;Visual analytics;Clustering algorithms;Process control;Video surveillance;Pattern recognition;Security","","1","","24","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"DensePeds: Pedestrian Tracking in Dense Crowds Using Front-RVO and Sparse Features","R. Chandra; U. Bhattacharya; A. Bera; D. Manocha",University of Maryland; University of Maryland; University of North Carolina; University of Maryland,"2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","28 Jan 2020","2019","","","468","475","We present a pedestrian tracking algorithm, DensePeds, that tracks individuals in highly dense crowds (>2 pedestrians per square meter). Our approach is designed for videos captured from front-facing or elevated cameras. We present a new motion model called Front-RVO (FRVO) for predicting pedestrian movements in dense situations using collision avoidance constraints and combine it with state-of-the-art Mask R-CNN to compute sparse feature vectors that reduce the loss of pedestrian tracks (false negatives). We evaluate DensePeds on the standard MOT benchmarks as well as a new dense crowd dataset. In practice, our approach is 4.5 × faster than prior tracking algorithms on the MOT benchmark and we are state-of-the-art in dense crowd videos by over 2.6% on the absolute scale on average.","2153-0866","978-1-7281-4004-9","10.1109/IROS40897.2019.8968470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968470","","","","12","","48","IEEE","28 Jan 2020","","","IEEE","IEEE Conferences"
"A Comprehensive Survey of Machine Learning Methods for Surveillance Videos Anomaly Detection","N. Choudhry; J. Abawajy; S. Huda; I. Rao","Faculty of Science, Engineering and Built Environment, Deakins University, Burwood VIC, Australia; Faculty of Science, Engineering and Built Environment, Deakins University, Burwood VIC, Australia; Faculty of Science, Engineering and Built Environment, Deakins University, Burwood VIC, Australia; Blue Brackets Technologies, Islamabad, Pakistan","IEEE Access","20 Oct 2023","2023","11","","114680","114713","Video Surveillance Systems (VSSs) are used in a wide range of applications including public safety and perimeter security. They are deployed in places such as markets, hospitals, schools, banks, shopping malls, offices, and smart cities. VSSs generate a massive amount of surveillance data, and significant research has been published on the use of machine learning algorithms to handle surveillance data. In this paper, we present an extensive overview and a thorough analysis of cutting-edge learning methods used in VSSs. Existing surveys on learning approaches in video surveillance have some drawbacks, such as a lack of in-depth analysis of the learning algorithms, omission of certain methodologies, insufficient critical evaluation, and absence of recent learning algorithms. To fill these gaps, this survey provides a thorough examination of the most recent learning algorithms for anomaly detection. A critical assessment of the algorithms including their strengths, weaknesses, and applicability as well as tailored classifications of anomaly types for different domains are provided. Our study also offers insights into the future development of learning techniques in VSS, positioning itself as a valuable resource for both researchers and practitioners in the field. Finally, we share our thoughts on what we learned and how it can help with new developments in the future.","2169-3536","","10.1109/ACCESS.2023.3321800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10271300","Machine learning;anomaly detection;video surveillance systems;supervised learning methods;unsupervised learning methods;semi-supervised learning methods","Videos;Anomaly detection;Surveys;Behavioral sciences;Deep learning;Transformers;Forensics;Machine learning;Surveillance;Supervised learning;Unsupervised learning;Semisupervised learning","","","","232","CCBYNCND","4 Oct 2023","","","IEEE","IEEE Journals"
"An Aerial Crowd-Flow Analyzing System for Drone Under YOLOv5 and StrongSort","K. -H. Yeh; I. -C. Hsu; Y. -Z. Chou; G. -Y. Chen; Y. -S. Tsai","department of computer science and engineering, National Taiwan Ocean University, Keelung City, Taiwan; department of computer science and engineering, National Taiwan Ocean University, Keelung City, Taiwan; department of computer science and engineering, National Taiwan Ocean University, Keelung City, Taiwan; department of computer science and engineering, National Taiwan Ocean University, Keelung City, Taiwan; Department of computer science and engineering, National Taiwan Ocean University, Keelung City, Taiwan","2022 International Automatic Control Conference (CACS)","7 Dec 2022","2022","","","1","6","Crowd detection has recently been a critical issue in machine vision. In response to the recent epidemics' impact, people tend to avoid crowded places, such as markets and bazaars. Crowd analysis can significantly solve this issue and help epidemic prevention. In this study, we proposed a deep learning-based crowd-tracking system using YOLOv5 with StrongSort and OSNet for detection and analyzing the obtained data, such as crowd tracking, counting and plotting crowd trajectories, and motion maps, and hotspot maps to analyze crowding levels. Regarding data training, we use LabelGo for semi-automatic annotation and training. We also tested the size of the pixels that can detect the smallest object (1.0 x 20.0 pixels) and the effect of the number of people on the screen on the time we spent detecting, tracking, and plotting. The detection, tracking, and plotting time is less than 3 seconds for a crowd of more than 100 people, so the results can be presented quickly.","","978-1-6654-9646-9","10.1109/CACS55319.2022.9969785","Ministry of Science and Technology(grant numbers:110-2634-F-A49-006,110-2634-F-009-018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9969785","","Training;Epidemics;Target tracking;Annotations;Machine vision;Trajectory;Safety","","1","","20","IEEE","7 Dec 2022","","","IEEE","IEEE Conferences"
"Collision-Line Counting Method Using DeepSORT to Count Pedestrian Flow Density and Hungary Algorithm","Y. Pei; H. Liu; Q. Bei","School of Electrical Engineering and Automation, Qilu University of Technology (Shandong Academy of Sciences), Jinan, China; School of Electrical Engineering and Automation, Qilu University of Technology (Shandong Academy of Sciences), Jinan, China; School of Electrical Engineering and Automation, Qilu University of Technology (Shandong Academy of Sciences), Jinan, China","2021 IEEE 3rd International Conference on Civil Aviation Safety and Information Technology (ICCASIT)","10 Dec 2021","2021","","","621","626","With the great success of deep learning in the field of machine vision, crowd density statistics based on machine vision have become more and more important in today's world. In order to calculate the density of people flow in a certain area, this paper combines the YOLOv4 objective detection algorithm and the DeepSORT multi-objective tracking algorithm, and uses the Kalman filter algorithm and the Hungarian algorithm for trajectory prediction and data association. And it is proposed to carry out density statistics through the Collision-line counting method. This method uses the ID information and trajectory information of pedestrians in the objective tracking process to count the number of people and directions passing through a certain set line segment, and indirectly count the density of pedestrian flow in the corresponding area. This method can also be used in conjunction with multiple cameras at multiple entrances and exits in a certain area, and has the characteristics of flexible operation and high precision. In addition, this method can also be used to detect traffic flow.","","978-1-6654-2518-6","10.1109/ICCASIT53235.2021.9633356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9633356","YOLOv4;Kalman filter;Hungary algorithm;DeepSORT","Switches;Object segmentation;Filtering algorithms;Prediction algorithms;Information filters;Trajectory;Safety","","1","","16","IEEE","10 Dec 2021","","","IEEE","IEEE Conferences"
"Drone Vision and Deep Learning for Infrastructure Inspection","I. Pitas","Department of Informatics, Artificial Intelligence and Information Analysis (AIIA) Lab, Aristotle University of Thessaloniki (AUTH), Greece","2021 IEEE International Conference on Autonomous Systems (ICAS)","6 Oct 2021","2021","","","1","1","This lecture overviews the use of drones for infrastructure inspection and maintenance. Various types of inspection, e.g., using visual cameras, LIDAR or thermal cameras are reviewed. Drone vision plays a pivotal role in drone perception/control for infrastructure inspection and maintenance, because: a) it enhances flight safety by drone localization/mapping, obstacle detection and emergency landing detection; b) performs quality visual data acquisition, and c) allows powerful drone/human interactions, e.g., through automatic event detection and gesture control. The drone should have: a) increased multiple drone decisional autonomy and b) improved multiple drone robustness and safety mechanisms (e.g., communication robustness/safety, embedded flight regulation compliance, enhanced crowd avoidance and emergency landing mechanisms). Therefore, it must be contextually aware and adaptive. Drone vision and machine learning play a very important role towards this end, covering the following topics: a) semantic world mapping b) drone and target localization, c) drone visual analysis for target/obstacle/crowd/point of interest detection, d) 2D/3D target tracking. Finally, embedded on-drone vision (e.g., tracking) and machine learning algorithms are extremely important, as they facilitate drone autonomy, e.g., in communication-denied environments. Primary application area is electric line inspection. Line detection and tracking and drone perching are examined. Human action recognition and co-working assistance are overviewed.The lecture will offer: a) an overview of all the above plus other related topics and will stress the related algorithmic aspects, such as: b) drone localization and world mapping, c) target detection d) target tracking and 3D localization e) gesture control and co-working with humans. Some issues on embedded CNN and fast convolution computing will be overviewed as well.","","978-1-7281-7289-7","10.1109/ICAS49788.2021.9551136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551136","","Location awareness;Visualization;Target tracking;Three-dimensional displays;Target recognition;Inspection;Maintenance engineering","","3","","0","IEEE","6 Oct 2021","","","IEEE","IEEE Conferences"
"Human Detection in crowd using One-stage and Two-stage object detection models","V. N. Rajeshirke; S. C. N.","Department of Computing Technologies, Faculty of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur, Tamil Nadu, India; Department of Computing Technologies, Faculty of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur, Tamil Nadu, India","2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT)","23 Nov 2023","2023","","","1","5","Object detection has various uses for recognition, detection, and tracking. Detecting humans in crowded low-quality images is an emerging topic and is a difficult task. In this paper, different object detection are compared for our purpose. Here we use the two models - YOLO and Faster R-CNN and test their working for human detection on low-quality images. We take a low-quality image collection and utilize pre-processing techniques to improve its quality. Using the same experimental setting, we build YOLO and Faster R-CNN and evaluate their results based on accuracy and speed. After comparing the results it shows that in terms of detection speed, YOLO outperforms Faster R-CNN. And YOLO lags than Faster R-CNN when it comes to accuracy. Further we also discuss the advantages and disadvantages of using these models and which is best suited for the scenario we intend to work on. Our findings give useful insights for the development of low-quality image object detection systems for accurate human detection in crowded images, with practical implications for a variety of applications.","2473-7674","979-8-3503-3509-5","10.1109/ICCCNT56998.2023.10307765","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10307765","Crowd detection;Deep Learning;Faster R-CNN;low-resolution images;object detection;YOLO","Training;Image resolution;Hardware;Task analysis;Testing","","","","18","IEEE","23 Nov 2023","","","IEEE","IEEE Conferences"
"Abnormal Behavior Detection in Crowd Scene Using YOLO and Conv-AE","L. Yajing; D. Zhongjian","Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China","2021 33rd Chinese Control and Decision Conference (CCDC)","30 Nov 2021","2021","","","1720","1725","This paper proposes a weighted convolutional autoencoder (Conv-AE) and a novel regularity score based on the results of You Only Look Once (YOLO) network to detect abnormal behavior in crowd scenarios. The weighted Conv-AE extracts spatial features of video frames. In the training process, a weighted loss function is proposed based on the YOLO detection results, which emphasizes the foreground part, and thus overcomes the impact of complex background. In addition, a novel regularity score is put forward in the anomaly detection process. The regularity score takes into account the three factors of reconstruction errors obtained from weighted Conv-AE, speed information and category of objects detected by YOLO. Three scores respectively based on these factors are integrated to obtain anomaly detection results. The experimental results on UCSD ped1 and ped2 dataset verify that the proposed method achieves better performance than the most of semi-supervised methods.","1948-9447","978-1-6654-4089-9","10.1109/CCDC52312.2021.9602095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9602095","abnormal behavior detection;You Only Look Once (YOLO);convolutional autoencoder (Conv-AE);weighted loss function","Training;Feature extraction;Anomaly detection","","2","","26","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Finding Common Image Semantics for Urban Perceived Safety Based on Pairwise Comparisons","G. Costa; C. Soares; M. Marques","Institute for Systems and Robotics Instituto Superior Tecnico, Lisbon, Portugal; Institute for Systems and Robotics Instituto Superior Tecnico, Lisbon, Portugal; Institute for Systems and Robotics Instituto Superior Tecnico, Lisbon, Portugal","2019 27th European Signal Processing Conference (EUSIPCO)","18 Nov 2019","2019","","","1","5","What influences people’s perception of safety in an urban environment? Does everyone perceive safety the same way or do different people look for different contents in an image, safety-wise? We present a user analysis on a crowd-sourced dataset that contains pairwise comparisons regarding the perceived safety of street imagery from different municipalities in the greater Lisbon area, Portugal. We use state-of-the-art semantic segmentation to extract the contents of images and cluster different people according to what they perceive as safe. Then, we study semantic classes and analyze clusters of users for semantic elements appearing in images classified as safer (or more dangerous). The results show that clusters share a lot of similarities. Our analysis evidences that, for users with more pairwise comparisons, there is only one group, while spurious groupings appear when users contribute less. This result emphasizes that a pairwise image comparison dataset potentiates agreement of users in perceptual tasks, for moderate comparison data size.","2076-1465","978-9-0827-9703-9","10.23919/EUSIPCO.2019.8903115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8903115","Urban perceived safety;Semantic urban segmentation;Crowd-sourced perceptual dataset;Pairwise comparisons.","Semantics;Safety;Image segmentation;Europe;Signal processing;Couplings;Robots","","","","21","","18 Nov 2019","","","IEEE","IEEE Conferences"
"Target Detection and Tracking for Vehicles in Tourist Sites Based on Image Recognition","X. Fang","Wuxi Vocational Institute of Commerce, Wuxi, China","2023 2nd International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)","21 Feb 2024","2023","","","253","258","With the popularization of autonomous vehicles, reliable environment sensing and target recognition are the key to safe navigation of autonomous vehicles in locations with high human and vehicular traffic and many obstacles, such as tourist attractions. This study develops an optimized deep learning model for accurate detection and tracking of pedestrians and objects in complex tourist site environments based on image recognition. The model enhances the feature extraction capability of convolutional neural networks by incorporating an improved scene similarity perception module. A compact parallax map depth representation is utilized to identify targets and motion trajectories. The model is validated on a tourist site dataset and shows superior performance in dense crowd scenarios compared to existing methods. The reliable identification of pedestrians, vehicles and obstacles in various lighting and weather conditions ensures the safe navigation of autonomous vehicles and protects tourist safety.","","979-8-3503-3144-8","10.1109/CBASE60015.2023.10439101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10439101","Tourism Safety;Traffic information Recognition;Target detection;Automatic control","Target tracking;Image recognition;Target recognition;Semantic segmentation;Semantics;Trajectory;Autonomous vehicles","","","","14","IEEE","21 Feb 2024","","","IEEE","IEEE Conferences"
"On the Fine-Grained Crowd Analysis Via Passive WiFi Sensing","L. Hao; B. Huang; B. Jia; G. Mao","Engineering Research Center of Ecological Big Data, Ministry of Education, the Inner Mongolia A.R. Key Laboratory of Wireless Networking and Mobile Computing, College of Computer Science, Inner Mongolia University, Hohhot, China; Engineering Research Center of Ecological Big Data, Ministry of Education, the Inner Mongolia A.R. Key Laboratory of Wireless Networking and Mobile Computing, College of Computer Science, Inner Mongolia University, Hohhot, China; Engineering Research Center of Ecological Big Data, Ministry of Education, the Inner Mongolia A.R. Key Laboratory of Wireless Networking and Mobile Computing, College of Computer Science, Inner Mongolia University, Hohhot, China; Research Institute of Smart Transportation, Xidian University, Xi'an, China","IEEE Transactions on Mobile Computing","","2023","PP","99","1","15","Regarding the passive WiFi sensing based crowd analysis, this paper first theoretically investigates its limitations, and then proposes a deep learning based scheme targeted for returning fine-grained crowd states in large surveillance areas. To this end, three key challenges are coped with: to relieve the influences of the randomness and sparsity induced by passive WiFi sensing, an attention-based deep convolutional autoencoder model is designed to recover accurate crowd density maps in a way similar to image reconstruction; to combat the anonymity caused by MAC randomization, following the identification of local high-density crowds (LHDCs) with the density clustering algorithm, i.e. DM-DBSCAN, a bidirectional convolutional LSTM based model is employed to infer LHDC speeds; to overcome the absence of passive WiFi sensing datasets for model training, three semi-synthetic datasets are produced by emulating passive WiFi sensing with practical pedestrian tracking datasets. Extensive experiments confirm that, the proposed scheme significantly outperforms existing WiFi-based methods in terms of crowd density estimation and provides superior crowd speed estimation. More importantly, the scheme can also produce consistent crowd states on a real-world dataset, revealing that it has the ability to support accurate, visualized and real-time crowd monitoring in large surveillance areas.","1558-0660","","10.1109/TMC.2023.3324334","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10285068","Crowd analysis;crowd density regression;dataset;passive WiFi sensing;speed estimation","Wireless fidelity;Sensors;Estimation;Surveillance;Pedestrians;Mobile computing;Location awareness","","","","","IEEE","13 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Detection and Tracking the Criminal Activity using Network of CCTV cameras","N. Y. Katkar; V. K. Garg","School Of Computer Science and Engineering, Lovely Professional University, Phagwara, Punjab, India; School Of Computer Science and Engineering, Lovely Professional University, Phagwara, Punjab, India","2022 3rd International Conference on Smart Electronics and Communication (ICOSEC)","22 Nov 2022","2022","","","664","668","In recent years, the number of troublesome people with provocative behaviour has been increased. This necessitates the need to increase the public security. CCTV cameras are gradually being deployed on streets, banks, and other areas to protect people’s safety in public areas like shopping malls. Since it is practically impossible to continuously monitor the security cameras, the crowd monitoring system must be computerized with high accuracy. Moreover, if a criminal is running, it is difficult to detect and track down by only using the capture CCTV image is a time-consuming process. To solve these challenges, the proposed system will scan real-time CCTV surveillance footage and use criminal reference information to identify the criminals. To recognize the uniqueness, it is highly required to precisely automate this activity. It is also necessary to show which frames and sections of the recording contain the unexpected behaviour.","","978-1-6654-9764-0","10.1109/ICOSEC54921.2022.9952104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9952104","Criminal Activity;CNN;LSTM;Classification;Detection","Target tracking;Terrorism;Surveillance;Cameras;Real-time systems;Safety;Behavioral sciences","","1","","15","IEEE","22 Nov 2022","","","IEEE","IEEE Conferences"
"An Autonomous UAV-Assisted Distance-Aware Crowd Sensing Platform Using Deep ShuffleNet Transfer Learning","K. Rezaee; S. J. Mousavirad; M. R. Khosravi; M. K. Moghimi; M. Heidari","Department of Biomedical Engineering, Meybod University, Meybod, Iran; Computer Engineering Department, Hakim Sabzevari University, Sabzevar, Iran; Department of Computer Engineering, Persian Gulf University, Bushehr, Iran; Department of Communication Engineering, University of Sistan and Baluchestan, Zahedan, Iran; School of Electrical and Computer Engineering, Tarbiat Modares University, Tehran, Iran","IEEE Transactions on Intelligent Transportation Systems","11 Jul 2022","2022","23","7","9404","9413","Autonomous unmanned aerial vehicles (UAVs) are essential for detecting and tracking specific events, such as automatic navigation. The intelligent monitoring of people’s social distances in crowds is one of the most significant events caused by the coronavirus. The virus is spreading more quickly among the crowds, and the disease cycle continues in congested areas. Due to the error that occurs when humans monitor their activity, an automated model is required to alert to social distance violations in crowds. As a result, this article proposes a two-step framework based on autonomous UAV videos, including human tracking and deep learning-based recognition of the crowd’s social distance. The deep architecture is a modified-fast and lightweight ShuffleNet learning structure. First, the Kalman filter is used to determine the positions of individuals, and then the modified ShuffleNet is used to refine the bounding boxes obtained and determine the social distance. The social distance is calculated using the initial refinement of the bounding box obtained during the tracking step and the scale in frames of the human body. The observed average accuracy, average processing time (APT), and processed frame per second (FPS) for three congestion datasets were 97.5%, 84 milliseconds, and 11.5 FPS, respectively. Real-time decision-making was achieved by reducing the size and resolution of the frames. Additionally, the frames were re-labeled to reduce the computational complexity associated with detecting social distancing. The experimental results demonstrated that the proposed method could operate more quickly and accurately on various resolution frames of UAV videos with difficult conditions.","1558-0016","","10.1109/TITS.2021.3119855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9592689","Unmanned aerial vehicle (UAV);COVID-19;social distancing;deep transfer learning;tracking;modified ShuffleNet","Social factors;Human factors;Monitoring;Videos;COVID-19;Kalman filters;Unmanned aerial vehicles","","24","","46","IEEE","28 Oct 2021","","","IEEE","IEEE Journals"
"People Counting Based on YOLO","G. Vasavi; H. H. Diddi; E. Haritha; G. Arun Kumar; G. Harsha Varma","Department of CSE, B V Raju Institute of Technology, Narsapur, Telangana, India; Department of CSE, B V Raju Institute of Technology, Narsapur, Telangana, India; Department of CSE, B V Raju Institute of Technology, Narsapur, Telangana, India; Department of CSE, B V Raju Institute of Technology, Narsapur, Telangana, India; Department of CSE, B V Raju Institute of Technology, Narsapur, Telangana, India","2023 4th IEEE Global Conference for Advancement in Technology (GCAT)","19 Dec 2023","2023","","","1","6","People counting is an important undertaking with many uses in areas including crowd control, transit, and retail. The final purpose of this project is to create a system that uses video footage to precisely count the number of persons entering and exiting a specified region. The method tracks and detects people in the video using object detection techniques, notably the YOLO (You Only Look Once) algorithm. There are various crucial phases in the project. In order to identify persons in the video frames, the YOLO model is first used. This model has been trained on a sizable dataset and comes with pre-trained weights. For each individual who is detected, the model returns bounding box coordinates, confidence scores, and class labels. The algorithm calculates the number of persons entering and departing the area of interest by comparing the quantity of individuals recognised in the most recent and earlier frames. Based on the change in the count, it is decided whether to go inward or outward. In addition to giving current updates on the population. And their movement status, the created system also combines visual feedback by presenting video frames with bounding boxes around detected individuals. Applications for this data include occupancy management, crowd management, and security surveillance. Experiments with various video datasets serve to confirm the system’s efficacy and accuracy. The results show that even under challenging and busy conditions, the system can reliably measure the number of persons entering and exiting. Overall, this study provides a reliable method for object-based video counting of individuals.","","979-8-3503-0525-8","10.1109/GCAT59970.2023.10353287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10353287","Deep Learning;YOLO;CNN(Convolution Neural Network);Object Detection;Machine Learning;Computer vision;peopele counting","YOLO;Visualization;Surveillance;Sociology;Sensor fusion;Sensors;Security","","","","10","IEEE","19 Dec 2023","","","IEEE","IEEE Conferences"
